nbr_ba_id,var_ba_nombre,"var_ba_status",nbr_pol_id
1,Comité del Pueblo,"En vigencia",1
2,San Diego,"En vigencia",2
3,San Diego,"En vigencia",3
4,Puengasí,"En vigencia",4
5,San Bartolo,"En vigencia",5
6,San Diego,"En vigencia",6
7,San Roque,"En vigencia",7
8,San Diego,"En vigencia",8
9,La Mena,"En vigencia",9
10,San Bartolo,"En vigencia",10
11,San Diego,"En vigencia",11
12,San Diego,"En vigencia",12
13,San Diego,"En vigencia",13
14,San Roque,"No existe",14
15,La Libertad,"En vigencia",15
16,Cotocollao,"En vigencia",16
17,San Diego,"En vigencia",17
18,Chimbacalle,"En vigencia",18
19,Mariscal Sucre,"En vigencia",19
20,La Magdalena,"En vigencia",20
21,San Roque,"En vigencia",21
22,San Diego,"En vigencia",22
23,San Diego,"En vigencia",23
24,Puengasí,"En vigencia",24
25,San Diego,"No existe",25
26,San Diego,"En vigencia",26
27,La Mena,"En vigencia",27
28,San Diego,"En vigencia",28
29,San Diego,"No existe",29
30,San Diego,"En vigencia",30
31,Calderón,"En vigencia",31
32,Quitumbe,"En vigencia",32
33,San Roque,"En vigencia",33
34,San Bartolo,"En vigencia",34
35,Ponceano,"En vigencia",35
36,San Diego,"En vigencia",36
37,Belisario Quevedo,"En vigencia",37
38,San Roque,"En vigencia",38
39,Chimbacalle,"En vigencia",39
40,San Diego,"En vigencia",40
41,San Roque,"En vigencia",41
42,Turubamba,"En vigencia",42
43,San Diego,"En vigencia",43
44,San Diego,"En vigencia",44
45,San Diego,"En vigencia",45
46,San Diego,"En vigencia",46
47,San Diego,"En vigencia",47
48,Itchimbía,"En vigencia",48
49,Puengasí,"En vigencia",49
50,Puengasí,"No existe",50
51,San Diego,"En vigencia",51
52,San Roque,"En vigencia",52
53,San Diego,"En vigencia",53
54,Cochapamba,"En vigencia",54
55,San Diego,"En vigencia",55
56,San Roque,"En vigencia",56
57,San Diego,"En vigencia",57
58,San Diego,"En vigencia",58
59,San Diego,"En vigencia",59
60,San Diego,"En vigencia",60
61,San Diego,"En vigencia",61
62,San Roque,"En vigencia",62
63,San Juan,"En vigencia",63
64,San Diego,"En vigencia",64
65,Chillogallo,"En vigencia",65
66,San Diego,"En vigencia",66
67,Solanda,"En vigencia",67
68,San Diego,"En vigencia",68
69,San Diego,"En vigencia",69
70,San Diego,"En vigencia",70
71,San Diego,"En vigencia",71
72,San Roque,"En vigencia",72
73,San Diego,"En vigencia",73
74,San Diego,"En vigencia",74
75,San Diego,"En vigencia",75
76,San Diego,"En vigencia",76
77,San Diego,"En vigencia",77
78,San Diego,"En vigencia",78
79,San Diego,"En vigencia",79
80,San Diego,"En vigencia",80
81,San Diego,"En vigencia",81
82,San Juan,"En vigencia",82
83,San Diego,"En vigencia",83
84,San Diego,"En vigencia",84
85,San Diego,"En vigencia",85
86,San Diego,"En vigencia",86
87,San Diego,"En vigencia",87
88,San Diego,"En vigencia",88
89,San Diego,"En vigencia",89
90,Kennedy,"No existe",90
91,Carcelén,"En vigencia",91
92,San Diego,"En vigencia",92
93,San Diego,"En vigencia",93
94,El Condado,"En vigencia",94
95,Cochapamba,"En vigencia",95
96,San Diego,"En vigencia",96
97,San Diego,"En vigencia",97
98,San Diego,"En vigencia",98
99,San Diego,"En vigencia",99
100,San Diego,"En vigencia",100
101,San Diego,"En vigencia",101
102,San Roque,"En vigencia",102
103,San Diego,"En vigencia",103
104,San Diego,"En vigencia",104
105,San Diego,"En vigencia",105
106,San Diego,"En vigencia",106
107,San Diego,"En vigencia",107
108,San Diego,"En vigencia",108
109,San Diego,"En vigencia",109
110,Solanda,"En vigencia",110
111,Calderón,"En vigencia",111
112,San Diego,"En vigencia",112
113,San Diego,"En vigencia",113
114,San Diego,"En vigencia",114
115,San Diego,"En vigencia",115
116,La Ferroviaria,"En vigencia",116
117,El Condado,"En vigencia",117
118,San Diego,"En vigencia",118
119,San Diego,"En vigencia",119
120,San Diego,"En vigencia",120
121,San Diego,"En vigencia",121
122,San Roque,"En vigencia",122
123,San Diego,"En vigencia",123
124,Iñaquito,"En vigencia",124
125,San Diego,"En vigencia",125
126,San Diego,"En vigencia",126
127,San Diego,"En vigencia",127
128,San Diego,"En vigencia",128
129,San Diego,"En vigencia",129
130,Cotocollao,"En vigencia",130
131,San Diego,"En vigencia",131
132,San Diego,"En vigencia",132
133,Chimbacalle,"En vigencia",133
134,Guamaní,"En vigencia",134
135,Cotocollao,"En vigencia",135
136,San Diego,"En vigencia",136
137,San Roque,"En vigencia",137
138,San Diego,"En vigencia",138
139,Solanda,"En vigencia",139
140,San Diego,"En vigencia",140
141,San Diego,"En vigencia",141
142,Rumipamba,"En vigencia",142
143,Centro Histórico,"En vigencia",143
144,San Diego,"En vigencia",144
145,Turubamba,"En vigencia",145
146,San Roque,"En vigencia",146
147,San Diego,"En vigencia",147
148,La Ferroviaria,"En vigencia",148
149,La Ecuatoriana,"En vigencia",149
150,San Diego,"En vigencia",150
151,San Diego,"En vigencia",151
152,La Mena,"En vigencia",152
153,San Diego,"En vigencia",153
154,San Diego,"En vigencia",154
155,San Diego,"En vigencia",155
156,Iñaquito,"No existe",156
157,San Roque,"En vigencia",157
158,San Diego,"En vigencia",158
159,La Concepción,"En vigencia",159
160,San Diego,"En vigencia",160
161,San Diego,"En vigencia",161
162,San Diego,"En vigencia",162
163,San Diego,"En vigencia",163
164,La Ferroviaria,"En vigencia",164
165,San Diego,"En vigencia",165
166,San Diego,"En vigencia",166
167,San Diego,"En vigencia",167
168,La Ferroviaria,"No existe",168
169,San Diego,"En vigencia",169
170,Itchimbía,"En vigencia",170
171,Turubamba,"En vigencia",171
172,San Diego,"En vigencia",172
173,San Diego,"En vigencia",173
174,San Diego,"En vigencia",174
175,San Diego,"En vigencia",175
176,San Diego,"No existe",176
177,San Diego,"En vigencia",177
178,San Diego,"En vigencia",178
179,San Diego,"En vigencia",179
180,San Diego,"En vigencia",180
181,San Diego,"En vigencia",181
182,San Roque,"En vigencia",182
183,San Diego,"En vigencia",183
184,Carcelén,"En vigencia",184
185,San Diego,"En vigencia",185
186,San Bartolo,"En vigencia",186
187,San Diego,"En vigencia",187
188,Puengasí,"En vigencia",188
189,La Mena,"En vigencia",189
190,San Diego,"En vigencia",190
191,Quitumbe,"En vigencia",191
192,Jipijapa,"En vigencia",192
193,San Diego,"En vigencia",193
194,San Diego,"En vigencia",194
195,Ponceano,"En vigencia",195
196,San Roque,"No existe",196
197,San Diego,"En vigencia",197
198,San Diego,"En vigencia",198
199,La Mena,"En vigencia",199
200,San Diego,"En vigencia",200
201,San Diego,"En vigencia",201
202,San Diego,"No existe",202
203,San Diego,"En vigencia",203
204,San Roque,"En vigencia",204
205,San Diego,"En vigencia",205
206,San Diego,"No existe",206
207,San Diego,"En vigencia",207
208,Centro Histórico,"En vigencia",208
209,San Diego,"En vigencia",209
210,San Roque,"En vigencia",210
211,San Diego,"En vigencia",211
212,Puengasí,"En vigencia",212
213,Chilibulo,"En vigencia",213
214,San Roque,"En vigencia",214
215,La Concepción,"En vigencia",215
216,San Diego,"En vigencia",216
217,San Roque,"En vigencia",217
218,San Diego,"En vigencia",218
219,San Diego,"No existe",219
220,San Roque,"En vigencia",220
221,San Diego,"En vigencia",221
222,San Diego,"En vigencia",222
223,San Diego,"En vigencia",223
224,San Diego,"En vigencia",224
225,Chillogallo,"En vigencia",225
226,San Diego,"En vigencia",226
227,San Diego,"En vigencia",227
228,San Diego,"En vigencia",228
229,San Diego,"En vigencia",229
230,San Diego,"En vigencia",230
231,Solanda,"En vigencia",231
232,San Diego,"En vigencia",232
233,San Diego,"En vigencia",233
234,San Roque,"En vigencia",234
235,San Diego,"En vigencia",235
236,San Diego,"En vigencia",236
237,San Diego,"En vigencia",237
238,San Diego,"En vigencia",238
239,San Diego,"En vigencia",239
240,San Diego,"En vigencia",240
241,Chillogallo,"En vigencia",241
242,San Diego,"En vigencia",242
243,San Diego,"En vigencia",243
244,San Diego,"En vigencia",244
245,San Diego,"En vigencia",245
246,San Diego,"En vigencia",246
247,San Diego,"En vigencia",247
248,San Diego,"En vigencia",248
249,La Argelia,"En vigencia",249
250,San Diego,"En vigencia",250
251,Cotocollao,"En vigencia",251
252,San Diego,"En vigencia",252
253,Kennedy,"En vigencia",253
254,San Diego,"No existe",254
255,San Diego,"En vigencia",255
256,Itchimbía,"En vigencia",256
257,San Diego,"En vigencia",257
258,San Diego,"En vigencia",258
259,San Diego,"En vigencia",259
260,Ponceano,"En vigencia",260
261,Guamaní,"En vigencia",261
262,Guamaní,"En vigencia",262
263,San Diego,"En vigencia",263
264,Puengasí,"En vigencia",264
265,San Diego,"En vigencia",265
266,San Diego,"En vigencia",266
267,Cotocollao,"En vigencia",267
268,San Diego,"En vigencia",268
269,San Diego,"En vigencia",269
270,San Diego,"En vigencia",270
271,San Diego,"En vigencia",271
272,San Diego,"En vigencia",272
273,Mariscal Sucre,"No existe",273
274,San Diego,"En vigencia",274
275,San Roque,"En vigencia",275
276,San Diego,"En vigencia",276
277,San Diego,"En vigencia",277
278,La Ecuatoriana,"En vigencia",278
279,San Diego,"En vigencia",279
280,San Diego,"En vigencia",280
281,Puengasí,"En vigencia",281
282,San Diego,"En vigencia",282
283,San Diego,"En vigencia",283
284,San Diego,"En vigencia",284
285,Turubamba,"En vigencia",285
286,Iñaquito,"En vigencia",286
287,San Diego,"En vigencia",287
288,San Diego,"En vigencia",288
289,San Roque,"En vigencia",289
290,San Diego,"En vigencia",290
291,San Diego,"En vigencia",291
292,San Roque,"En vigencia",292
293,Jipijapa,"En vigencia",293
294,San Diego,"En vigencia",294
295,San Diego,"En vigencia",295
296,San Diego,"En vigencia",296
297,San Diego,"En vigencia",297
298,San Diego,"En vigencia",298
299,San Diego,"En vigencia",299
300,San Diego,"En vigencia",300
301,La Libertad,"En vigencia",301
302,Belisario Quevedo,"En vigencia",302
303,San Diego,"En vigencia",303
304,La Concepción,"En vigencia",304
305,San Diego,"En vigencia",305
306,Itchimbía,"En vigencia",306
307,Ponceano,"En vigencia",307
308,San Diego,"En vigencia",308
309,San Diego,"En vigencia",309
310,San Diego,"En vigencia",310
311,San Diego,"En vigencia",311
312,Carcelén,"En vigencia",312
313,San Diego,"En vigencia",313
314,San Diego,"En vigencia",314
315,San Diego,"En vigencia",315
316,Quitumbe,"En vigencia",316
317,San Diego,"En vigencia",317
318,San Diego,"En vigencia",318
319,Puengasí,"En vigencia",319
320,San Diego,"En vigencia",320
321,Solanda,"En vigencia",321
322,San Diego,"En vigencia",322
