nbr_can_id,var_can_nombre,var_can_status,nbr_pro_id
1,Distrito Metropolitano de Quito,En vigencia,1
2,Distrito Metropolitano de Quito,En vigencia,2
3,Distrito Metropolitano de Quito,En vigencia,3
4,Distrito Metropolitano de Quito,En vigencia,4
5,Puerto Quito,En vigencia,5
6,Pedro Vicente Maldonado,En vigencia,6
7,Distrito Metropolitano de Quito,En vigencia,7
8,Distrito Metropolitano de Quito,En vigencia,8
9,Pedro Vicente Maldonado,En vigencia,9
10,Distrito Metropolitano de Quito,En vigencia,10
11,Puerto Quito,En vigencia,11
12,Mejia,En vigencia,12
13,Distrito Metropolitano de Quito,En vigencia,13
14,Mejia,En vigencia,14
15,San Miguel de los Bancos,En vigencia,15
16,Pedro Moncayo,En vigencia,16
17,Distrito Metropolitano de Quito,En vigencia,17
18,Pedro Moncayo,En vigencia,18
19,Mejia,En vigencia,19
20,Mejia,En vigencia,20
21,Distrito Metropolitano de Quito,En vigencia,21
22,Mejia,En vigencia,22
23,Distrito Metropolitano de Quito,En vigencia,23
24,Distrito Metropolitano de Quito,En vigencia,24
25,Puerto Quito,En vigencia,25
26,Distrito Metropolitano de Quito,En vigencia,26
27,Puerto Quito,En vigencia,27
28,Distrito Metropolitano de Quito,En vigencia,28
29,Distrito Metropolitano de Quito,En vigencia,29
30,Distrito Metropolitano de Quito,En vigencia,30
31,Distrito Metropolitano de Quito,En vigencia,31
32,Puerto Quito,En vigencia,32
33,Cayambe,En vigencia,33
34,Distrito Metropolitano de Quito,En vigencia,34
35,Pedro Vicente Maldonado,En vigencia,35
36,Distrito Metropolitano de Quito,En vigencia,36
37,Cayambe,En vigencia,37
38,Distrito Metropolitano de Quito,En vigencia,38
39,Pedro Vicente Maldonado,En vigencia,39
40,Distrito Metropolitano de Quito,En vigencia,40
41,Cayambe,En vigencia,41
42,Distrito Metropolitano de Quito,En vigencia,42
43,Cayambe,En vigencia,43
44,Distrito Metropolitano de Quito,En vigencia,44
45,Distrito Metropolitano de Quito,En vigencia,45
46,San Miguel de los Bancos,En vigencia,46
47,Distrito Metropolitano de Quito,En vigencia,47
48,Distrito Metropolitano de Quito,En vigencia,48
49,Puerto Quito,En vigencia,49
50,Distrito Metropolitano de Quito,En vigencia,50
51,Distrito Metropolitano de Quito,En vigencia,51
52,Distrito Metropolitano de Quito,En vigencia,52
53,Distrito Metropolitano de Quito,En vigencia,53
54,Pedro Moncayo,En vigencia,54
55,Distrito Metropolitano de Quito,En vigencia,55
56,Distrito Metropolitano de Quito,En vigencia,56
57,Pedro Moncayo,En vigencia,57
58,Pedro Moncayo,En vigencia,58
59,Distrito Metropolitano de Quito,En vigencia,59
60,Distrito Metropolitano de Quito,En vigencia,60
61,Distrito Metropolitano de Quito,En vigencia,61
62,Distrito Metropolitano de Quito,En vigencia,62
63,Cayambe,En vigencia,63
64,Distrito Metropolitano de Quito,En vigencia,64
65,Distrito Metropolitano de Quito,En vigencia,65
66,Distrito Metropolitano de Quito,En vigencia,66
67,Cayambe,En vigencia,67
68,Distrito Metropolitano de Quito,En vigencia,68
69,Cayambe,En vigencia,69
70,Distrito Metropolitano de Quito,En vigencia,70
71,Distrito Metropolitano de Quito,En vigencia,71
72,Distrito Metropolitano de Quito,En vigencia,72
73,Pedro Vicente Maldonado,En vigencia,73
74,Pedro Moncayo,En vigencia,74
75,Rumiñahui,En vigencia,75
76,Cayambe,En vigencia,76
77,Distrito Metropolitano de Quito,En vigencia,77
78,Distrito Metropolitano de Quito,En vigencia,78
79,Distrito Metropolitano de Quito,En vigencia,79
80,Rumiñahui,En vigencia,80
81,Distrito Metropolitano de Quito,En vigencia,81
82,Distrito Metropolitano de Quito,En vigencia,82
83,Cayambe,En vigencia,83
84,San Miguel de los Bancos,En vigencia,84
85,Distrito Metropolitano de Quito,En vigencia,85
86,Distrito Metropolitano de Quito,En vigencia,86
87,Rumiñahui,En vigencia,87
88,San Miguel de los Bancos,En vigencia,88
89,Distrito Metropolitano de Quito,En vigencia,89
90,Puerto Quito,En vigencia,90
91,Distrito Metropolitano de Quito,En vigencia,91
92,Distrito Metropolitano de Quito,En vigencia,92
93,Distrito Metropolitano de Quito,En vigencia,93
94,Cayambe,En vigencia,94
95,San Miguel de los Bancos,En vigencia,95
96,Rumiñahui,En vigencia,96
97,Distrito Metropolitano de Quito,En vigencia,97
98,Distrito Metropolitano de Quito,En vigencia,98
99,Pedro Vicente Maldonado,En vigencia,99
100,Pedro Vicente Maldonado,En vigencia,100
101,Cayambe,En vigencia,101
102,Distrito Metropolitano de Quito,En vigencia,102
103,Rumiñahui,En vigencia,103
104,Pedro Moncayo,En vigencia,104
105,Rumiñahui,En vigencia,105
106,Pedro Moncayo,En vigencia,106
107,Distrito Metropolitano de Quito,En vigencia,107
108,Distrito Metropolitano de Quito,En vigencia,108
109,Distrito Metropolitano de Quito,En vigencia,109
110,Cayambe,En vigencia,110
111,Distrito Metropolitano de Quito,En vigencia,111
112,Cayambe,En vigencia,112
113,Distrito Metropolitano de Quito,En vigencia,113
114,Distrito Metropolitano de Quito,En vigencia,114
115,Mejia,En vigencia,115
116,Mejia,En vigencia,116
117,Distrito Metropolitano de Quito,En vigencia,117
118,Distrito Metropolitano de Quito,En vigencia,118
119,Distrito Metropolitano de Quito,En vigencia,119
120,Mejia,En vigencia,120
121,Distrito Metropolitano de Quito,En vigencia,121
122,Distrito Metropolitano de Quito,En vigencia,122
123,Pedro Moncayo,No existe,123
124,Mejia,En vigencia,124
125,Distrito Metropolitano de Quito,En vigencia,125
126,Distrito Metropolitano de Quito,En vigencia,126
127,Mejia,En vigencia,127
128,Distrito Metropolitano de Quito,En vigencia,128
129,Distrito Metropolitano de Quito,En vigencia,129
130,Distrito Metropolitano de Quito,En vigencia,130
131,Pedro Vicente Maldonado,En vigencia,131
132,Distrito Metropolitano de Quito,En vigencia,132
133,Distrito Metropolitano de Quito,En vigencia,133
134,Distrito Metropolitano de Quito,En vigencia,134
135,Distrito Metropolitano de Quito,En vigencia,135
136,Distrito Metropolitano de Quito,En vigencia,136
137,Distrito Metropolitano de Quito,En vigencia,137
138,Puerto Quito,En vigencia,138
139,Distrito Metropolitano de Quito,En vigencia,139
140,San Miguel de los Bancos,En vigencia,140
141,Distrito Metropolitano de Quito,En vigencia,141
142,Distrito Metropolitano de Quito,En vigencia,142
143,Distrito Metropolitano de Quito,En vigencia,143
144,Distrito Metropolitano de Quito,En vigencia,144
145,Pedro Vicente Maldonado,En vigencia,145
146,Distrito Metropolitano de Quito,En vigencia,146
147,Distrito Metropolitano de Quito,En vigencia,147
148,Pedro Vicente Maldonado,En vigencia,148
149,Distrito Metropolitano de Quito,En vigencia,149
150,Mejia,En vigencia,150
151,Distrito Metropolitano de Quito,En vigencia,151
152,Distrito Metropolitano de Quito,En vigencia,152
153,Distrito Metropolitano de Quito,En vigencia,153
154,Distrito Metropolitano de Quito,En vigencia,154
155,Distrito Metropolitano de Quito,En vigencia,155
156,Distrito Metropolitano de Quito,No existe,156
157,Distrito Metropolitano de Quito,En vigencia,157
158,Distrito Metropolitano de Quito,En vigencia,158
159,Cayambe,En vigencia,159
160,Distrito Metropolitano de Quito,No existe,160
161,Distrito Metropolitano de Quito,En vigencia,161
162,Distrito Metropolitano de Quito,En vigencia,162
163,Distrito Metropolitano de Quito,En vigencia,163
164,Distrito Metropolitano de Quito,En vigencia,164
165,Distrito Metropolitano de Quito,En vigencia,165
166,Distrito Metropolitano de Quito,En vigencia,166
167,Distrito Metropolitano de Quito,En vigencia,167
168,Distrito Metropolitano de Quito,No existe,168
169,Pedro Vicente Maldonado,En vigencia,169
170,Distrito Metropolitano de Quito,En vigencia,170
171,Cayambe,En vigencia,171
172,Distrito Metropolitano de Quito,En vigencia,172
173,Distrito Metropolitano de Quito,En vigencia,173
174,Puerto Quito,En vigencia,174
175,Distrito Metropolitano de Quito,En vigencia,175
176,Puerto Quito,En vigencia,176
177,Distrito Metropolitano de Quito,En vigencia,177
178,Distrito Metropolitano de Quito,En vigencia,178
179,Distrito Metropolitano de Quito,En vigencia,179
180,Distrito Metropolitano de Quito,En vigencia,180
181,Distrito Metropolitano de Quito,En vigencia,181
182,Distrito Metropolitano de Quito,En vigencia,182
183,Distrito Metropolitano de Quito,En vigencia,183
184,Pedro Moncayo,En vigencia,184
185,Distrito Metropolitano de Quito,En vigencia,185
186,Distrito Metropolitano de Quito,En vigencia,186
187,Distrito Metropolitano de Quito,En vigencia,187
188,Distrito Metropolitano de Quito,En vigencia,188
189,Distrito Metropolitano de Quito,En vigencia,189
190,Distrito Metropolitano de Quito,En vigencia,190
191,Rumiñahui,En vigencia,191
192,Distrito Metropolitano de Quito,En vigencia,192
193,Distrito Metropolitano de Quito,En vigencia,193
194,Distrito Metropolitano de Quito,En vigencia,194
195,Distrito Metropolitano de Quito,En vigencia,195
196,Distrito Metropolitano de Quito,En vigencia,196
197,Distrito Metropolitano de Quito,En vigencia,197
198,Puerto Quito,En vigencia,198
199,Distrito Metropolitano de Quito,En vigencia,199
200,Pedro Moncayo,En vigencia,200
201,Distrito Metropolitano de Quito,En vigencia,201
202,Distrito Metropolitano de Quito,En vigencia,202
203,Distrito Metropolitano de Quito,En vigencia,203
204,Puerto Quito,En vigencia,204
205,Distrito Metropolitano de Quito,En vigencia,205
206,Cayambe,En vigencia,206
207,Distrito Metropolitano de Quito,En vigencia,207
208,Distrito Metropolitano de Quito,En vigencia,208
209,Rumiñahui,En vigencia,209
210,Pedro Moncayo,En vigencia,210
211,Distrito Metropolitano de Quito,En vigencia,211
212,Pedro Moncayo,En vigencia,212
213,Pedro Moncayo,En vigencia,213
214,Distrito Metropolitano de Quito,En vigencia,214
215,Pedro Moncayo,En vigencia,215
216,Distrito Metropolitano de Quito,En vigencia,216
217,Distrito Metropolitano de Quito,En vigencia,217
218,Mejia,En vigencia,218
219,Distrito Metropolitano de Quito,En vigencia,219
220,Puerto Quito,En vigencia,220
221,Distrito Metropolitano de Quito,En vigencia,221
222,Distrito Metropolitano de Quito,En vigencia,222
223,Cayambe,En vigencia,223
224,Cayambe,En vigencia,224
225,Distrito Metropolitano de Quito,En vigencia,225
226,Distrito Metropolitano de Quito,En vigencia,226
227,Distrito Metropolitano de Quito,En vigencia,227
228,Distrito Metropolitano de Quito,En vigencia,228
229,Pedro Vicente Maldonado,En vigencia,229
230,Distrito Metropolitano de Quito,En vigencia,230
231,San Miguel de los Bancos,En vigencia,231
232,Puerto Quito,En vigencia,232
233,Distrito Metropolitano de Quito,En vigencia,233
234,Distrito Metropolitano de Quito,En vigencia,234
235,Distrito Metropolitano de Quito,En vigencia,235
236,Distrito Metropolitano de Quito,En vigencia,236
237,Cayambe,En vigencia,237
238,Distrito Metropolitano de Quito,En vigencia,238
239,Rumiñahui,En vigencia,239
240,Distrito Metropolitano de Quito,En vigencia,240
241,Distrito Metropolitano de Quito,En vigencia,241
242,Distrito Metropolitano de Quito,En vigencia,242
243,Rumiñahui,En vigencia,243
244,Distrito Metropolitano de Quito,En vigencia,244
245,Distrito Metropolitano de Quito,En vigencia,245
246,Distrito Metropolitano de Quito,En vigencia,246
247,Distrito Metropolitano de Quito,En vigencia,247
248,Distrito Metropolitano de Quito,En vigencia,248
249,Distrito Metropolitano de Quito,En vigencia,249
250,Distrito Metropolitano de Quito,En vigencia,250
251,Puerto Quito,En vigencia,251
252,Pedro Moncayo,En vigencia,252
253,Mejia,En vigencia,253
254,Cayambe,En vigencia,254
255,Puerto Quito,En vigencia,255
256,Cayambe,En vigencia,256
257,Pedro Vicente Maldonado,En vigencia,257
258,Distrito Metropolitano de Quito,No existe,258
259,Distrito Metropolitano de Quito,En vigencia,259
260,Distrito Metropolitano de Quito,En vigencia,260
261,Rumiñahui,En vigencia,261
262,Distrito Metropolitano de Quito,En vigencia,262
263,Mejia,En vigencia,263
264,Puerto Quito,En vigencia,264
265,Distrito Metropolitano de Quito,En vigencia,265
266,Distrito Metropolitano de Quito,En vigencia,266
267,Cayambe,No existe,267
268,Distrito Metropolitano de Quito,En vigencia,268
269,Cayambe,En vigencia,269
270,Rumiñahui,En vigencia,270
271,Rumiñahui,En vigencia,271
272,Distrito Metropolitano de Quito,En vigencia,272
273,Distrito Metropolitano de Quito,En vigencia,273
274,Pedro Vicente Maldonado,En vigencia,274
275,Distrito Metropolitano de Quito,En vigencia,275
276,Distrito Metropolitano de Quito,En vigencia,276
277,Distrito Metropolitano de Quito,En vigencia,277
278,Pedro Vicente Maldonado,En vigencia,278
279,Distrito Metropolitano de Quito,En vigencia,279
280,Distrito Metropolitano de Quito,En vigencia,280
281,Cayambe,En vigencia,281
282,Distrito Metropolitano de Quito,En vigencia,282
283,Distrito Metropolitano de Quito,En vigencia,283
284,Distrito Metropolitano de Quito,En vigencia,284
285,Cayambe,En vigencia,285
286,Distrito Metropolitano de Quito,No existe,286
287,Pedro Vicente Maldonado,En vigencia,287
288,Pedro Moncayo,En vigencia,288
289,Distrito Metropolitano de Quito,En vigencia,289
290,Distrito Metropolitano de Quito,En vigencia,290
291,Pedro Vicente Maldonado,En vigencia,291
292,Distrito Metropolitano de Quito,En vigencia,292
293,Cayambe,En vigencia,293
294,Puerto Quito,En vigencia,294
295,Distrito Metropolitano de Quito,En vigencia,295
296,Rumiñahui,En vigencia,296
297,Distrito Metropolitano de Quito,En vigencia,297
298,Distrito Metropolitano de Quito,En vigencia,298
299,Pedro Vicente Maldonado,En vigencia,299
300,Pedro Moncayo,En vigencia,300
301,Distrito Metropolitano de Quito,En vigencia,301
302,Distrito Metropolitano de Quito,En vigencia,302
303,Rumiñahui,No existe,303
304,Mejia,En vigencia,304
305,Distrito Metropolitano de Quito,En vigencia,305
306,Distrito Metropolitano de Quito,En vigencia,306
307,Distrito Metropolitano de Quito,En vigencia,307
308,Mejia,En vigencia,308
309,Distrito Metropolitano de Quito,En vigencia,309
310,Distrito Metropolitano de Quito,En vigencia,310
311,Distrito Metropolitano de Quito,En vigencia,311
312,Distrito Metropolitano de Quito,En vigencia,312
313,Distrito Metropolitano de Quito,En vigencia,313
314,Puerto Quito,En vigencia,314
315,Distrito Metropolitano de Quito,En vigencia,315
316,Distrito Metropolitano de Quito,En vigencia,316
317,Distrito Metropolitano de Quito,En vigencia,317
318,Pedro Vicente Maldonado,En vigencia,318
319,Pedro Moncayo,En vigencia,319
320,Distrito Metropolitano de Quito,En vigencia,320
321,Puerto Quito,En vigencia,321
322,Distrito Metropolitano de Quito,En vigencia,322
323,Distrito Metropolitano de Quito,En vigencia,323
324,Rumiñahui,En vigencia,324
325,Rumiñahui,En vigencia,325
326,Distrito Metropolitano de Quito,No existe,326
327,Distrito Metropolitano de Quito,En vigencia,327
328,Distrito Metropolitano de Quito,En vigencia,328
329,San Miguel de los Bancos,En vigencia,329
330,Distrito Metropolitano de Quito,En vigencia,330
331,Distrito Metropolitano de Quito,En vigencia,331
332,Distrito Metropolitano de Quito,En vigencia,332
333,Distrito Metropolitano de Quito,En vigencia,333
334,Rumiñahui,En vigencia,334
335,Rumiñahui,En vigencia,335
336,Puerto Quito,En vigencia,336
337,Pedro Vicente Maldonado,En vigencia,337
338,Distrito Metropolitano de Quito,En vigencia,338
339,Distrito Metropolitano de Quito,En vigencia,339
340,Rumiñahui,En vigencia,340
341,Distrito Metropolitano de Quito,En vigencia,341
342,Cayambe,En vigencia,342
343,Distrito Metropolitano de Quito,En vigencia,343
344,Pedro Moncayo,En vigencia,344
345,Distrito Metropolitano de Quito,No existe,345
346,Distrito Metropolitano de Quito,En vigencia,346
347,Distrito Metropolitano de Quito,En vigencia,347
348,Distrito Metropolitano de Quito,No existe,348
349,Distrito Metropolitano de Quito,En vigencia,349
350,Distrito Metropolitano de Quito,En vigencia,350
351,Cayambe,No existe,351
352,Puerto Quito,No existe,352
353,Distrito Metropolitano de Quito,En vigencia,353
354,Distrito Metropolitano de Quito,En vigencia,354
355,Distrito Metropolitano de Quito,En vigencia,355
356,Distrito Metropolitano de Quito,En vigencia,356
357,Mejia,En vigencia,357
358,Distrito Metropolitano de Quito,En vigencia,358
359,Distrito Metropolitano de Quito,En vigencia,359
360,Pedro Vicente Maldonado,En vigencia,360
361,Distrito Metropolitano de Quito,En vigencia,361
362,Distrito Metropolitano de Quito,En vigencia,362
363,Distrito Metropolitano de Quito,En vigencia,363
364,Pedro Moncayo,No existe,364
365,Distrito Metropolitano de Quito,En vigencia,365
366,Distrito Metropolitano de Quito,En vigencia,366
367,Distrito Metropolitano de Quito,En vigencia,367
368,Pedro Moncayo,En vigencia,368
369,Pedro Vicente Maldonado,En vigencia,369
370,Distrito Metropolitano de Quito,En vigencia,370
371,Distrito Metropolitano de Quito,En vigencia,371
372,Distrito Metropolitano de Quito,En vigencia,372
373,Distrito Metropolitano de Quito,En vigencia,373
374,Distrito Metropolitano de Quito,En vigencia,374
375,Distrito Metropolitano de Quito,En vigencia,375
376,Rumiñahui,En vigencia,376
377,Distrito Metropolitano de Quito,En vigencia,377
378,San Miguel de los Bancos,En vigencia,378
379,Distrito Metropolitano de Quito,En vigencia,379
380,Cayambe,En vigencia,380
381,San Miguel de los Bancos,En vigencia,381
382,Distrito Metropolitano de Quito,En vigencia,382
383,Distrito Metropolitano de Quito,En vigencia,383
384,Distrito Metropolitano de Quito,En vigencia,384
385,Distrito Metropolitano de Quito,En vigencia,385
