nbr_pro_id,var_pro_nombre,var_pro_status,nbr_coor_id
1,Zamora Chinchipe,En vigencia,1
2,Cotopaxi,En vigencia,2
3,El Oro,En vigencia,3
4,Morona Santiago,En vigencia,4
5,Carchi,No existe,5
6,Cotopaxi,En vigencia,6
7,Pichincha,En vigencia,7
8,Orellana,En vigencia,8
9,Pichincha,En vigencia,9
10,El Oro,En vigencia,10
11,Zamora Chinchipe,En vigencia,11
12,Tungurahua,En vigencia,12
13,Los Ríos,En vigencia,13
14,Tungurahua,En vigencia,14
15,Galapagos,En vigencia,15
16,Pichincha,En vigencia,16
17,Santo Domingo de los Tsáchilas,En vigencia,17
18,Pichincha,En vigencia,18
19,Loja,En vigencia,19
20,Manabí,En vigencia,20
21,Napo,En vigencia,21
22,Pichincha,En vigencia,22
23,Guayas,En vigencia,23
24,Pichincha,En vigencia,24
25,Guayas,En vigencia,25
26,El Oro,En vigencia,26
27,Pastaza,En vigencia,27
28,Pichincha,En vigencia,28
29,Pichincha,En vigencia,29
30,Manabí,En vigencia,30
31,El Oro,En vigencia,31
32,Azuay,En vigencia,32
33,Los Ríos,En vigencia,33
34,Azuay,En vigencia,34
35,Imbabura,En vigencia,35
36,Pichincha,En vigencia,36
37,Los Ríos,En vigencia,37
38,Pichincha,En vigencia,38
39,Pichincha,En vigencia,39
40,Zamora Chinchipe,En vigencia,40
41,Pichincha,No existe,41
42,Pichincha,En vigencia,42
43,Bolívar,En vigencia,43
44,Pichincha,En vigencia,44
45,Pichincha,En vigencia,45
46,Pichincha,En vigencia,46
47,Guayas,En vigencia,47
48,Pastaza,En vigencia,48
49,Galapagos,En vigencia,49
50,Imbabura,En vigencia,50
51,Los Ríos,En vigencia,51
52,Tungurahua,En vigencia,52
53,Pastaza,No existe,53
54,Cañar,En vigencia,54
55,Morona Santiago,En vigencia,55
56,Manabí,En vigencia,56
57,Pichincha,En vigencia,57
58,Napo,En vigencia,58
59,Pichincha,En vigencia,59
60,Pichincha,En vigencia,60
61,Carchi,En vigencia,61
62,Imbabura,En vigencia,62
63,Guayas,En vigencia,63
64,Carchi,En vigencia,64
65,Pichincha,En vigencia,65
66,Azuay,En vigencia,66
67,Sucumbíos,En vigencia,67
68,Azuay,En vigencia,68
69,Manabí,En vigencia,69
70,Cañar,En vigencia,70
71,Guayas,En vigencia,71
72,Pichincha,En vigencia,72
73,Zamora Chinchipe,En vigencia,73
74,Pichincha,En vigencia,74
75,Galapagos,En vigencia,75
76,Carchi,En vigencia,76
