nbr_upc_id,var_upc_nombre,var_upc_status,nbr_ciu_id
1,Mcdowellbury,Activo,1
2,Nicoleshire,Activo,2
3,North Sandra,Activo,3
4,West Deborah,Activo,4
5,Lauramouth,Activo,5
6,Pachecobury,Activo,6
7,West Clayton,Activo,7
8,North Lindsay,Activo,8
9,Georgestad,Activo,9
10,Eatonshire,Activo,10
11,Claybury,Activo,11
12,New Jessica,Activo,12
13,Port Kathrynton,Activo,13
14,Smithbury,Activo,14
15,Hartborough,Activo,15
16,Brendastad,Activo,16
17,Cooperhaven,Activo,17
18,Port Rebeccachester,Activo,18
19,Jacquelinestad,Activo,19
20,South Jacobstad,Activo,20
21,Stephenmouth,Activo,21
22,West Reginald,Activo,22
23,Port Ashley,Activo,23
24,Lake Justinmouth,Activo,24
25,South Robertview,Activo,25
26,Paigestad,Activo,26
27,East Taylor,Activo,27
28,North Jacob,Activo,28
29,New Kathryn,Activo,29
30,East Destiny,Activo,30
31,South Mark,Activo,31
32,East Brandiborough,Activo,32
33,Ryanbury,Activo,33
34,North Ericmouth,Activo,34
35,Leeborough,Activo,35
36,Garnerside,Activo,36
37,Tuckermouth,Activo,37
38,South Kevin,Activo,38
39,New Alyssatown,Activo,39
40,South Joshuaburgh,Activo,40
41,Ballardfort,Activo,41
42,Ronaldfurt,Activo,42
43,Vegachester,Activo,43
44,Camachofort,Activo,44
45,Herrerafurt,Activo,45
46,Paulhaven,Activo,46
47,West Sheila,Activo,47
48,Lake Tiffany,Activo,48
49,Edwardmouth,Activo,49
50,South Susan,Activo,50
51,Jacobshire,Activo,51
52,Douglasburgh,Activo,52
53,West Molly,Activo,53
54,Lake Melinda,Activo,54
55,Howardview,Activo,55
56,Port Carolfort,Activo,56
57,West Stevemouth,Activo,57
58,Wrightberg,Activo,58
59,Clintonberg,Activo,59
60,Port Joycefort,Activo,60
61,Victorshire,Activo,61
62,South Jeffreyburgh,Activo,62
63,Lake Anthonymouth,Activo,63
64,Leslieview,Activo,64
65,Hoffmanchester,Activo,65
66,Port Christine,Activo,66
67,West Stephaniefurt,Activo,67
68,East Laurenbury,Activo,68
69,South Shaun,Activo,69
70,Matthewfort,Activo,70
71,Andrewbury,Activo,71
72,Maystown,Activo,72
73,Ericastad,Activo,73
74,Lake Brianborough,Activo,74
75,North Deniseport,Activo,75
76,New Christopher,Activo,76
77,East Vanessaville,Inactivo,77
78,Angelafurt,Activo,78
79,Harrisburgh,Activo,79
80,Brookstown,Activo,80
81,North Lawrencefurt,Activo,81
82,West Susanside,Activo,82
83,Joelmouth,Activo,83
84,Bakerhaven,Activo,84
85,Biancastad,Activo,85
86,Port Jason,Activo,86
87,Laurenfort,Activo,87
88,Port Patricia,Activo,88
89,North Christopher,Activo,89
90,Amyland,Activo,90
91,Lake Craigside,Activo,91
92,Jonestown,Activo,92
93,North Matthew,Activo,93
94,Jenniferberg,Activo,94
95,West Jenniferville,Activo,95
96,East Maria,Activo,96
97,New Thomas,Activo,97
98,Lorihaven,Activo,98
99,Vickiside,Activo,99
100,Kristaborough,Activo,100
101,North Jamesshire,Activo,101
102,Johnsonstad,Activo,102
103,Smithburgh,Activo,103
104,Rodriguezborough,Activo,104
105,Hernandezland,Activo,105
106,Jessicaborough,Activo,106
107,Pamelaberg,Activo,107
108,Port Nicholasshire,Activo,108
109,West Brianland,Activo,109
110,Martinezport,Activo,110
111,Richardsonton,Activo,111
112,Josephland,Activo,112
113,Wilsonchester,Activo,113
114,Jeffreyfurt,Activo,114
115,New Charles,Activo,115
116,Jonathantown,Activo,116
117,Lake Jose,Activo,117
118,Hortonport,Activo,118
119,Dyerhaven,Activo,119
120,Colemouth,Activo,120
121,Edwardside,Activo,121
122,New Rebeccaland,Activo,122
123,West Christopher,Activo,123
124,West Kayla,Activo,124
125,West Jodi,Activo,125
126,Mariahfurt,Activo,126
127,Lake Kevin,Activo,127
128,Castroview,Activo,128
129,Rickville,Activo,129
130,Youngberg,Activo,130
131,South Jared,Activo,131
132,West Bonnieburgh,Activo,132
133,New Annamouth,Activo,133
134,Mahoneybury,Activo,134
135,Port Micheleview,Activo,135
136,East Catherineview,Activo,136
137,Kellyside,Activo,137
138,Daveville,Activo,138
139,Bellmouth,Activo,139
140,Lake Gabriellefurt,Activo,140
141,Mathisbury,Activo,141
142,Laurenview,Activo,142
143,Georgeshire,Activo,143
144,Pittmanborough,Activo,144
145,West Janet,Activo,145
146,Monicaton,Activo,146
147,East Neilhaven,Activo,147
148,Adrianmouth,Inactivo,148
149,Coxchester,Activo,149
150,West Jose,Activo,150
151,Johnborough,Activo,151
152,Gravesfurt,Activo,152
153,Port Cassandraview,Activo,153
154,North Samanthaville,Activo,154
155,East David,Activo,155
156,South Chris,Activo,156
157,Port Zacharyport,Activo,157
158,South Deannaport,Activo,158
159,South Jenniferberg,Activo,159
160,Torresmouth,Activo,160
161,South Jacobbury,Activo,161
162,New Codymouth,Activo,162
163,East Anthony,Activo,163
164,Port Caroline,Activo,164
165,Ellisland,Activo,165
166,East Benjaminfurt,Inactivo,166
167,Davidtown,Inactivo,167
168,Lisastad,Activo,168
169,Robertsland,Activo,169
170,Port Stevenmouth,Activo,170
171,Lefort,Activo,171
172,Ericburgh,Activo,172
173,New Susanville,Activo,173
174,Port Jeffery,Activo,174
175,North Joshua,Activo,175
176,Lake Audrey,Activo,176
177,Mollyton,Activo,177
178,Markbury,Activo,178
179,East Vanessa,Activo,179
180,West Alexis,Activo,180
181,Port Jennifertown,Activo,181
182,Walkerland,Activo,182
183,Sheahaven,Activo,183
184,Samanthaburgh,Activo,184
185,Jamesland,Activo,185
186,Port Jessica,Activo,186
187,Pricechester,Activo,187
188,Port Rita,Inactivo,188
189,East Benjamin,Activo,189
190,North Josephshire,Activo,190
191,Port Sheri,Activo,191
192,New Fernandoshire,Activo,192
193,North Danielside,Activo,193
194,New Amy,Activo,194
195,New Veronicaberg,Activo,195
196,Estradaville,Activo,196
197,Lake Nicole,Inactivo,197
198,Melindaport,Activo,198
199,New Brent,Activo,199
200,South Aaron,Activo,200
201,New David,Activo,201
202,Stricklandside,Activo,202
203,Joanburgh,Activo,203
204,North Benjaminburgh,Activo,204
205,Port Lisastad,Inactivo,205
206,Elizabethstad,Activo,206
207,Brownland,Activo,207
208,East Tammy,Activo,208
209,Lake Maxwellside,Activo,209
210,Lake Maryton,Inactivo,210
211,South Travis,Activo,211
212,Port Amyside,Activo,212
213,Danielhaven,Activo,213
214,East Tinastad,Activo,214
215,East Sarahstad,Activo,215
216,Dunnview,Activo,216
217,South Mary,Activo,217
218,Richardsonshire,Activo,218
219,East Laurie,Activo,219
220,Davidstad,Activo,220
221,Ballburgh,Activo,221
222,Cruzport,Activo,222
223,Jeffreytown,Activo,223
224,Mitchellhaven,Activo,224
225,East Angelaburgh,Activo,225
226,Millermouth,Activo,226
227,Kristenside,Activo,227
228,East Paul,Activo,228
229,Matthewview,Activo,229
230,East Bryanland,Activo,230
231,Patriciatown,Activo,231
232,Martinborough,Activo,232
233,Port Lisa,Activo,233
234,West Amy,Activo,234
235,Gailfort,Activo,235
236,Evanstown,Activo,236
237,North Alexandermouth,Activo,237
238,Brianchester,Activo,238
239,Lake Kara,Activo,239
240,Wellschester,Activo,240
241,Lake Michael,Activo,241
242,North David,Activo,242
243,Campbellberg,Activo,243
244,Simpsonchester,Activo,244
245,Jenkinschester,Activo,245
246,Lake Ruthborough,Activo,246
247,Sandraborough,Activo,247
248,Cynthiatown,Activo,248
249,West Calebview,Activo,249
250,Walterberg,Activo,250
251,Jordanview,Activo,251
252,East Joseph,Activo,252
253,Port Rickyborough,Activo,253
254,New Edwardview,Activo,254
255,Josephtown,Activo,255
256,New James,Activo,256
257,Joelmouth,Activo,257
258,Sheilastad,Activo,258
259,Deanberg,Activo,259
260,Donnamouth,Activo,260
261,New Christopherstad,Activo,261
262,Stephensmouth,Activo,262
263,Port Markchester,Activo,263
264,Karaburgh,Activo,264
265,East Meganstad,Activo,265
266,Port Annette,Activo,266
267,North Brian,Activo,267
268,Webstermouth,Activo,268
269,Port Jasonstad,Activo,269
270,Lake Melanie,Activo,270
271,North Mallory,Activo,271
272,Port Colleen,Activo,272
273,North Adamstad,Activo,273
274,Morganstad,Activo,274
275,North Samantha,Activo,275
276,Douglasshire,Activo,276
277,South Laura,Activo,277
278,Mortonview,Activo,278
279,Duarteshire,Activo,279
280,New Michael,Activo,280
281,New Markland,Activo,281
282,Port Lisa,Activo,282
283,Jackberg,Activo,283
284,East Brandon,Activo,284
285,East Joy,Activo,285
286,Williamschester,Activo,286
287,Robertton,Activo,287
288,Carlsonburgh,Inactivo,288
289,Mckayburgh,Activo,289
290,Port Samanthaland,Activo,290
291,Ronaldchester,Activo,291
292,Santanabury,Activo,292
293,Anafort,Activo,293
294,East Shannon,Activo,294
295,West Haleyberg,Activo,295
296,Lake Vanessa,Activo,296
297,East Dawnport,Activo,297
298,Hardingborough,Activo,298
299,Lake Richard,Activo,299
300,West Gregory,Activo,300
301,Masonside,Activo,301
302,New Stacy,Activo,302
303,West Danielhaven,Activo,303
304,Lake Edward,Activo,304
305,Sharonfort,Activo,305
306,East Sarahbury,Activo,306
307,Rodriguezland,Activo,307
308,Osbornefurt,Activo,308
309,East Megan,Activo,309
310,Kimberlyborough,Activo,310
311,Kristyfort,Activo,311
312,Yvetteview,Activo,312
313,Candacefort,Activo,313
314,South Cassandraton,Activo,314
315,South Lauraberg,Activo,315
316,Huntberg,Activo,316
317,North Patrickland,Activo,317
318,Johnsonberg,Activo,318
319,North David,Activo,319
320,Michaelside,Activo,320
321,Pearsonmouth,Activo,321
322,New Tiffanystad,Activo,322
