nbr_asl_id,var_asl_forma_asaltar,nbr_ba_id,nbr_delin_id
1,Con armas de fuego,1,1
2,Dulces sueños,2,2
3,Con armas de fuego,3,3
4,Con armas de fuego,4,4
5,Con armas de fuego,5,5
6,Con armas cortopulsante,6,6
7,Con armas de fuego,7,7
8,Con armas de fuego,8,8
9,Con armas de fuego,9,9
10,Dulces sueños,10,10
11,Con armas de fuego,11,11
12,Con armas de fuego,12,12
13,Dulces sueños,13,13
14,Con armas cortopulsante,14,14
15,Con armas de fuego,15,15
16,Con armas de fuego,16,16
17,Con armas de fuego,17,17
18,Con armas cortopulsante,18,18
19,Con armas cortopulsante,19,19
20,Con armas de fuego,20,20
21,Con armas de fuego,21,21
22,Con armas cortopulsante,22,22
23,Con armas cortopulsante,23,23
24,Con armas de fuego,24,24
25,Con armas cortopulsante,25,25
26,Con armas de fuego,26,26
27,Con armas de fuego,27,27
28,Con armas cortopulsante,28,28
29,Con armas de fuego,29,29
30,Con armas cortopulsante,30,30
31,Con armas de fuego,31,31
32,Con armas de fuego,32,32
33,Con armas de fuego,33,33
34,Con armas de fuego,34,34
35,Con armas de fuego,35,35
36,Con armas de fuego,36,36
37,Con armas de fuego,37,37
38,Con armas de fuego,38,38
39,Con armas de fuego,39,39
40,Dulces sueños,40,40
41,Con armas de fuego,41,41
42,Con armas de fuego,42,42
43,Con armas de fuego,43,43
44,Dulces sueños,44,44
45,Con armas de fuego,45,45
46,Con armas de fuego,46,46
47,Con armas de fuego,47,47
48,Con armas cortopulsante,48,48
49,Extorsion,49,49
50,Dulces sueños,50,50
51,Con armas de fuego,51,51
52,Con armas cortopulsante,52,52
53,Con armas cortopulsante,53,53
54,Con armas de fuego,54,54
55,Dulces sueños,55,55
56,Dulces sueños,56,56
57,Con armas cortopulsante,57,57
58,Con armas de fuego,58,58
59,Con armas cortopulsante,59,59
60,Con armas cortopulsante,60,60
61,Con armas cortopulsante,61,61
62,Con armas de fuego,62,62
63,Dulces sueños,63,63
64,Con armas cortopulsante,64,64
65,Con armas de fuego,65,65
66,Con armas de fuego,66,66
67,Con armas cortopulsante,67,67
68,Extorsion,68,68
69,Con armas cortopulsante,69,69
70,Con armas cortopulsante,70,70
71,Con armas de fuego,71,71
72,Dulces sueños,72,72
73,Con armas de fuego,73,73
74,Extorsion,74,74
75,Con armas de fuego,75,75
76,Con armas cortopulsante,76,76
77,Con armas de fuego,77,77
78,Con armas de fuego,78,78
79,Con armas de fuego,79,79
80,Con armas de fuego,80,80
81,Con armas cortopulsante,81,81
82,Dulces sueños,82,82
83,Con armas de fuego,83,83
84,Con armas de fuego,84,84
85,Con armas de fuego,85,85
86,Con armas de fuego,86,86
87,Con armas de fuego,87,87
88,Con armas cortopulsante,88,88
89,Con armas de fuego,89,89
90,Con armas cortopulsante,90,90
91,Con armas de fuego,91,91
92,Con armas cortopulsante,92,92
93,Con armas de fuego,93,93
94,Dulces sueños,94,94
95,Con armas de fuego,95,95
96,Con armas cortopulsante,96,96
97,Dulces sueños,97,97
98,Con armas cortopulsante,98,98
99,Dulces sueños,99,99
100,Con armas de fuego,100,100
101,Con armas de fuego,101,101
102,Con armas de fuego,102,102
103,Con armas de fuego,103,103
104,Con armas de fuego,104,104
105,Dulces sueños,105,105
106,Con armas cortopulsante,106,106
107,Dulces sueños,107,107
108,Con armas de fuego,108,108
109,Con armas cortopulsante,109,109
110,Con armas de fuego,110,110
111,Con armas de fuego,111,111
112,Con armas cortopulsante,112,112
113,Dulces sueños,113,113
114,Con armas de fuego,114,114
115,Con armas cortopulsante,115,115
116,Con armas de fuego,116,116
117,Con armas de fuego,117,117
118,Con armas cortopulsante,118,118
119,Con armas de fuego,119,119
120,Con armas de fuego,120,120
121,Con armas cortopulsante,121,121
122,Con armas de fuego,122,122
123,Con armas de fuego,123,123
124,Con armas de fuego,124,124
125,Con armas de fuego,125,125
126,Con armas de fuego,126,126
127,Con armas de fuego,127,127
128,Con armas de fuego,128,128
129,Con armas cortopulsante,129,129
130,Con armas de fuego,130,130
131,Con armas de fuego,131,131
132,Con armas cortopulsante,132,132
133,Dulces sueños,133,133
134,Con armas cortopulsante,134,134
135,Con armas de fuego,135,135
136,Con armas cortopulsante,136,136
137,Con armas de fuego,137,137
138,Con armas de fuego,138,138
139,Con armas cortopulsante,139,139
140,Dulces sueños,140,140
141,Con armas cortopulsante,141,141
142,Con armas cortopulsante,142,142
143,Con armas de fuego,143,143
144,Con armas de fuego,144,144
145,Con armas de fuego,145,145
146,Dulces sueños,146,146
147,Con armas de fuego,147,147
148,Dulces sueños,148,148
149,Con armas de fuego,149,149
150,Con armas cortopulsante,150,150
151,Con armas cortopulsante,151,151
152,Con armas de fuego,152,152
153,Extorsion,153,153
154,Con armas cortopulsante,154,154
155,Con armas de fuego,155,155
156,Con armas de fuego,156,156
157,Con armas cortopulsante,157,157
158,Con armas de fuego,158,158
159,Con armas de fuego,159,159
160,Dulces sueños,160,160
161,Con armas cortopulsante,161,161
162,Con armas de fuego,162,162
163,Con armas de fuego,163,163
164,Con armas de fuego,164,164
165,Con armas de fuego,165,165
166,Dulces sueños,166,166
167,Con armas cortopulsante,167,167
168,Con armas cortopulsante,168,168
169,Con armas cortopulsante,169,169
170,Con armas de fuego,170,170
171,Con armas de fuego,171,171
172,Con armas cortopulsante,172,172
173,Con armas de fuego,173,173
174,Con armas de fuego,174,174
175,Con armas de fuego,175,175
176,Con armas de fuego,176,176
177,Con armas de fuego,177,177
178,Con armas cortopulsante,178,178
179,Con armas de fuego,179,179
180,Con armas de fuego,180,180
181,Con armas de fuego,181,181
182,Con armas de fuego,182,182
183,Dulces sueños,183,183
184,Con armas cortopulsante,184,184
185,Con armas de fuego,185,185
186,Con armas de fuego,186,186
187,Dulces sueños,187,187
188,Con armas cortopulsante,188,188
189,Con armas de fuego,189,189
190,Con armas de fuego,190,190
191,Con armas de fuego,191,191
192,Con armas de fuego,192,192
193,Con armas cortopulsante,193,193
194,Extorsion,194,194
195,Dulces sueños,195,195
196,Con armas de fuego,196,196
197,Con armas de fuego,197,197
198,Con armas de fuego,198,198
199,Con armas de fuego,199,199
200,Con armas de fuego,200,200
201,Con armas cortopulsante,201,201
202,Con armas cortopulsante,202,202
203,Con armas de fuego,203,203
204,Con armas de fuego,204,204
205,Con armas de fuego,205,205
206,Con armas de fuego,206,206
207,Con armas de fuego,207,207
208,Con armas de fuego,208,208
209,Con armas de fuego,209,209
210,Con armas de fuego,210,210
211,Con armas de fuego,211,211
212,Con armas cortopulsante,212,212
213,Con armas cortopulsante,213,213
214,Con armas de fuego,214,214
215,Con armas cortopulsante,215,215
216,Dulces sueños,216,216
217,Con armas de fuego,217,217
218,Con armas de fuego,218,218
219,Con armas de fuego,219,219
220,Con armas de fuego,220,220
221,Con armas de fuego,221,221
222,Con armas de fuego,222,222
223,Con armas cortopulsante,223,223
224,Con armas cortopulsante,224,224
225,Con armas cortopulsante,225,225
226,Dulces sueños,226,226
227,Con armas de fuego,227,227
228,Con armas de fuego,228,228
229,Con armas de fuego,229,229
230,Con armas cortopulsante,230,230
231,Con armas de fuego,231,231
232,Con armas de fuego,232,232
233,Con armas de fuego,233,233
234,Con armas cortopulsante,234,234
235,Con armas de fuego,235,235
236,Extorsion,236,236
237,Extorsion,237,237
238,Con armas de fuego,238,238
239,Con armas de fuego,239,239
240,Con armas de fuego,240,240
241,Con armas de fuego,241,241
242,Con armas cortopulsante,242,242
243,Con armas de fuego,243,243
244,Con armas de fuego,244,244
245,Con armas de fuego,245,245
246,Con armas cortopulsante,246,246
247,Con armas de fuego,247,247
248,Con armas cortopulsante,248,248
249,Con armas de fuego,249,249
250,Con armas de fuego,250,250
251,Con armas de fuego,251,251
252,Con armas cortopulsante,252,252
