nbr_hab_id,var_hab_descripcion,nbr_upc_id,nbr_pol_id
1,Barrial,1,1
2,Barrial,2,2
3,Barrial,3,3
4,Barrial,4,4
5,Barrial,5,5
6,Barrial,6,6
7,Barrial,7,7
8,Barrial,8,8
9,Movil,9,9
10,Movil,10,10
11,Barrial,11,11
12,Barrial,12,12
13,Barrial,13,13
14,Barrial,14,14
15,Barrial,15,15
16,Movil,16,16
17,Barrial,17,17
18,Barrial,18,18
19,Barrial,19,19
20,Barrial,20,20
21,Barrial,21,21
22,Barrial,22,22
23,Barrial,23,23
24,Barrial,24,24
25,Barrial,25,25
26,Movil,26,26
27,Barrial,27,27
28,Barrial,28,28
29,Barrial,29,29
30,Barrial,30,30
31,Barrial,31,31
32,Movil,32,32
33,Barrial,33,33
34,Barrial,34,34
35,Barrial,35,35
36,Barrial,36,36
37,Barrial,37,37
38,Barrial,38,38
39,Barrial,39,39
40,Barrial,40,40
41,Barrial,41,41
42,Barrial,42,42
43,Barrial,43,43
44,Barrial,44,44
45,Barrial,45,45
46,Barrial,46,46
47,Barrial,47,47
48,Barrial,48,48
49,Barrial,49,49
50,Barrial,50,50
51,Barrial,51,51
52,Barrial,52,52
53,Barrial,53,53
54,Movil,54,54
55,Barrial,55,55
56,Barrial,56,56
57,Barrial,57,57
58,Movil,58,58
59,Barrial,59,59
60,Barrial,60,60
61,Movil,61,61
62,Barrial,62,62
63,Movil,63,63
64,Barrial,64,64
65,Barrial,65,65
66,Barrial,66,66
67,Barrial,67,67
68,Barrial,68,68
69,Barrial,69,69
70,Barrial,70,70
71,Movil,71,71
72,Barrial,72,72
73,Barrial,73,73
74,Movil,74,74
75,Movil,75,75
76,Barrial,76,76
77,Barrial,77,77
78,Barrial,78,78
79,Barrial,79,79
80,Barrial,80,80
81,Barrial,81,81
82,Barrial,82,82
83,Barrial,83,83
84,Barrial,84,84
85,Barrial,85,85
86,Barrial,86,86
87,Barrial,87,87
88,Barrial,88,88
89,Barrial,89,89
90,Barrial,90,90
91,Movil,91,91
92,Barrial,92,92
93,Barrial,93,93
94,Movil,94,94
95,Barrial,95,95
96,Barrial,96,96
