nbr_parro_id,var_parro_nombre,var_parro_status,nbr_can_id
1,La Libertad,En vigencia,1
2,La Libertad,En vigencia,2
3,La Argelia,En vigencia,3
4,La Libertad,En vigencia,4
5,Centro Histórico,En vigencia,5
6,Solanda,En vigencia,6
7,Centro Histórico,En vigencia,7
8,Centro Histórico,En vigencia,8
9,Quitumbe,En vigencia,9
10,Iñaquito,En vigencia,10
11,Cotocollao,En vigencia,11
12,Centro Histórico,En vigencia,12
13,Centro Histórico,No existe,13
14,Magdalena,En vigencia,14
15,Centro Histórico,En vigencia,15
16,La Libertad,En vigencia,16
17,Centro Histórico,En vigencia,17
18,Centro Histórico,En vigencia,18
19,Centro Histórico,En vigencia,19
20,La Ferroviaria,En vigencia,20
21,Centro Histórico,En vigencia,21
22,Ponceano,En vigencia,22
23,La Libertad,En vigencia,23
24,Centro Histórico,En vigencia,24
25,Cochapamba,En vigencia,25
26,Centro Histórico,En vigencia,26
27,Centro Histórico,En vigencia,27
28,Puengasí,En vigencia,28
29,Puengasí,En vigencia,29
30,La Libertad,En vigencia,30
31,Belisario Quevedo,En vigencia,31
32,Puengasí,En vigencia,32
33,Centro Histórico,En vigencia,33
34,La Libertad,En vigencia,34
35,Centro Histórico,En vigencia,35
36,La Libertad,En vigencia,36
37,Centro Histórico,En vigencia,37
38,La Mena,En vigencia,38
39,La Libertad,En vigencia,39
40,La Libertad,En vigencia,40
41,Centro Histórico,En vigencia,41
42,Centro Histórico,En vigencia,42
43,Centro Histórico,En vigencia,43
44,San Bartolo,En vigencia,44
45,La Libertad,En vigencia,45
46,Centro Histórico,En vigencia,46
47,La Libertad,En vigencia,47
48,Quitumbe,En vigencia,48
49,La Libertad,En vigencia,49
50,Centro Histórico,En vigencia,50
51,La Libertad,En vigencia,51
52,Centro Histórico,En vigencia,52
53,La Libertad,En vigencia,53
54,Centro Histórico,En vigencia,54
55,La Libertad,En vigencia,55
56,Cotocollao,En vigencia,56
57,Centro Histórico,En vigencia,57
58,Puengasí,En vigencia,58
59,Centro Histórico,En vigencia,59
60,Mariscal Sucre,En vigencia,60
61,La Libertad,En vigencia,61
62,Centro Histórico,En vigencia,62
63,La Libertad,En vigencia,63
64,Guamaní,En vigencia,64
65,La Libertad,En vigencia,65
66,Centro Histórico,En vigencia,66
67,La Libertad,En vigencia,67
68,Centro Histórico,En vigencia,68
69,La Libertad,En vigencia,69
70,Chillogallo,En vigencia,70
71,La Libertad,En vigencia,71
72,Centro Histórico,En vigencia,72
73,La Libertad,En vigencia,73
74,Centro Histórico,En vigencia,74
75,La Libertad,En vigencia,75
76,La Libertad,En vigencia,76
77,Centro Histórico,En vigencia,77
78,Centro Histórico,En vigencia,78
79,Chilibulo,En vigencia,79
80,Comité Pueblo,En vigencia,80
81,Centro Histórico,En vigencia,81
82,Carcelén,En vigencia,82
83,Centro Histórico,En vigencia,83
84,La Libertad,En vigencia,84
85,El Inca,En vigencia,85
86,Cotocollao,En vigencia,86
87,Centro Histórico,En vigencia,87
88,Chillogallo,En vigencia,88
89,La Libertad,En vigencia,89
90,La Libertad,En vigencia,90
91,Turubamba,En vigencia,91
92,Centro Histórico,En vigencia,92
93,San Juan,En vigencia,93
94,Centro Histórico,En vigencia,94
95,Centro Histórico,En vigencia,95
96,Centro Histórico,En vigencia,96
97,Centro Histórico,En vigencia,97
98,Centro Histórico,En vigencia,98
99,La Libertad,En vigencia,99
100,La Libertad,En vigencia,100
101,Chilibulo,En vigencia,101
102,Cotocollao,En vigencia,102
103,Centro Histórico,En vigencia,103
104,Kennedy,En vigencia,104
105,La Libertad,En vigencia,105
106,Chilibulo,En vigencia,106
107,Turubamba,En vigencia,107
108,Centro Histórico,En vigencia,108
109,La Mena,En vigencia,109
110,Centro Histórico,En vigencia,110
111,La Libertad,En vigencia,111
112,Centro Histórico,En vigencia,112
113,Centro Histórico,En vigencia,113
114,Centro Histórico,En vigencia,114
115,Comité Pueblo,En vigencia,115
116,Centro Histórico,En vigencia,116
117,La Libertad,En vigencia,117
118,Solanda,En vigencia,118
119,La Libertad,En vigencia,119
120,Solanda,En vigencia,120
121,La Libertad,En vigencia,121
122,Centro Histórico,En vigencia,122
123,Jipijapa,En vigencia,123
124,Centro Histórico,En vigencia,124
125,La Libertad,En vigencia,125
126,La Libertad,En vigencia,126
127,La Libertad,En vigencia,127
128,Centro Histórico,En vigencia,128
129,La Libertad,En vigencia,129
130,Centro Histórico,En vigencia,130
131,Chilibulo,En vigencia,131
132,Centro Histórico,En vigencia,132
133,Kennedy,No existe,133
134,Centro Histórico,En vigencia,134
135,Centro Histórico,En vigencia,135
136,La Ecuatoriana,En vigencia,136
137,Centro Histórico,En vigencia,137
138,San Bartolo,En vigencia,138
139,Chillogallo,En vigencia,139
140,Centro Histórico,En vigencia,140
141,Centro Histórico,En vigencia,141
142,Centro Histórico,En vigencia,142
143,La Libertad,En vigencia,143
144,La Mena,En vigencia,144
145,Centro Histórico,En vigencia,145
146,La Libertad,En vigencia,146
147,Ponceano,En vigencia,147
148,Puengasí,En vigencia,148
149,La Libertad,En vigencia,149
150,La Libertad,En vigencia,150
151,La Libertad,En vigencia,151
152,Centro Histórico,En vigencia,152
153,Cotocollao,En vigencia,153
154,Magdalena,En vigencia,154
155,Magdalena,En vigencia,155
156,Centro Histórico,En vigencia,156
157,Centro Histórico,En vigencia,157
158,La Libertad,En vigencia,158
159,La Libertad,En vigencia,159
160,La Libertad,En vigencia,160
161,Ponceano,En vigencia,161
162,La Argelia,En vigencia,162
163,Guamaní,En vigencia,163
